Instruction,Output,input_text
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum, Continuous-wave operation at 10.5 THz for quantum cascade lasers emitting at 5.0 THz was made possible by implementing a highly resistive surface-plasmon waveguide design and a bound-to-continuum active region.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","250 mW, 1.5 mW"," At 9.8 THz, the peak power reached 250 mW at 1 K, dropping to a remaining detection of 1.5 mW at 180 K."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",60 mW,A 60-mW optical power was achieved from a 120-mm-wide and 1.875-mm-long laser operating in cw mode at a threshold current density of 600 A/cm2 and a temperature of 25K.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.5 THz,We conducted a successful experiment with a terahertz quantum-cascade laser that functions up to 200 K in pulsed mode and 100 K in continuous wave mode at approximately 2.5 THz.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5 Mw,"Our team has successfully achieved threshold current densities of 1 kA/cm2 and peak optical powers of 5 mW, surpassing our initial expectations."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.97 THz,The study shows that the highest-performing 2.3-mm-long device operating at 3.97 THz has a low threshold current density of 350 A/cm2 at 11 K.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,"A design scheme involving scattering-assisted injection and resonant-phonon depopulation was employed in the demonstration of a 2.1 THz quantum cascade laser (QCL).	"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85 As ,"Our laser system is built upon a GaAs/Al0.15Ga0.85 As heterostructure, which closely resembles the structure presented in Ref. [6], with a slight alteration of approximately 2% in the thicknesses of all layers.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.36 and 3.92 THz,"In our evaluation of three GaAs/AlAs heterostructure-based lasers with target frequencies of 3.36 and 3.92 THz, we observed a displacement towards higher frequencies from the wafer's core to its outer regions.		"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85As,"The construction of our laser is based on the GaAs/Al0.15Ga0.85 As heterostructure, mirroring that found in Ref. [6], except for a minor 2% expansion in the thicknesses of each layer. 		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",10.9 THz,A record-setting 10.9 THz quantum cascade laser has been achieved through the implementation of an advanced scattering-assisted injection and resonant-phonon depopulation approach.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"At B = 35 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 210K for the devices with Cu waveguide."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"Our research suggests that direct LO-phonon-based depopulation is a viable approach for achieving quantum cascade lasers at long-wavelength THz frequencies, with an ideal operating temperature of -50 degrees Celsius and a duty cycle of 0.5."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5.29 THz,This advanced technology can maintain a lasing frequency of 5.29 THz at a temperature of 130K.
